,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,AVG NUMBER OF WORDS PER SENTENCE,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
21,blackassign0022,,0.097,0.077,0.7331,0.9999999999999999,14.586206896551724,14.586206896551724,423,1.6004728132387707,6,5.15130023640662
22,blackassign0023,,0.137,0.039,0.9993,1.0,20.71641791044776,20.71641791044776,1388,1.580691642651297,9,5.128242074927954
23,blackassign0024,,0.141,0.014,0.9966,1.0,24.869565217391305,24.869565217391305,572,1.666083916083916,1,5.419580419580419
24,blackassign0025,,0.085,0.039,0.9931,1.001,24.738095238095237,24.738095238095237,1039,1.5139557266602501,14,4.950914340712223
25,blackassign0026,,0.084,0.035,0.985,1.0,18.20408163265306,18.20408163265306,892,1.6625560538116593,2,5.42152466367713
26,blackassign0027,,0.114,0.064,0.9961,1.0,23.928571428571427,23.928571428571427,1340,1.4753731343283583,32,4.769402985074627
27,blackassign0028,,0.147,0.044,0.9992,1.0,22.693877551020407,22.693877551020407,1112,1.6285971223021583,17,5.518884892086331
28,blackassign0029,,0.145,0.044,0.9996,1.0,22.746835443037973,22.746835443037973,1797,1.7746243739565943,4,5.798553144129104
29,blackassign0030,,0.149,0.083,0.9984,1.0,17.08433734939759,17.08433734939759,1418,1.5197461212976022,10,5.010578279266572
30,blackassign0031,,0.075,0.036,0.9891,1.0,20.105882352941176,20.105882352941176,1709,1.7425394967817438,3,5.535985956699824
31,blackassign0032,,0.144,0.044,0.9995,1.0,17.229166666666668,17.229166666666668,1654,1.5380894800483675,24,4.931680773881499
32,blackassign0033,,0.146,0.05,0.9996,1.0,19.852272727272727,19.852272727272727,1747,1.6239267315397825,21,5.241556954779623
33,blackassign0034,,0.162,0.038,0.9996,1.0,19.651515151515152,19.651515151515152,1297,1.5929067077872012,36,5.20585967617579
34,blackassign0035,,0.101,0.025,0.9953,1.0,15.829787234042554,15.829787234042554,744,1.614247311827957,11,5.221774193548387
35,blackassign0037,,0.162,0.056,0.9982,1.0,19.81081081081081,19.81081081081081,733,1.500682128240109,3,4.963165075034106
36,blackassign0038,,0.147,0.046,0.9998,1.0,25.13953488372093,25.13953488372093,2162,1.601295097132285,12,5.055504162812211
37,blackassign0039,,0.12,0.095,0.9955,1.0,17.103448275862068,17.103448275862068,1984,1.6154233870967742,0,5.344254032258065
38,blackassign0040,,0.134,0.053,0.9988,1.0,20.70689655172414,20.70689655172414,1201,1.7368859283930058,11,5.624479600333056
39,blackassign0041,,0.133,0.064,0.9983,1.0,14.034090909090908,14.034090909090908,1235,1.6008097165991904,7,5.183805668016194
40,blackassign0042,,0.143,0.036,0.9997,1.0,20.695121951219512,20.695121951219512,1697,1.568650559811432,34,4.988214496169712
41,blackassign0043,,0.164,0.026,0.9998,1.0,18.908045977011493,18.908045977011493,1645,1.6376899696048632,15,5.257142857142857
42,blackassign0044,,0.115,0.004,0.9939,1.0,23.272727272727273,23.272727272727273,512,1.69921875,0,5.5625
43,blackassign0045,,0.147,0.053,0.9996,0.9990000000000001,201.66666666666666,201.66666666666666,1815,1.5134986225895317,19,4.817079889807163
44,blackassign0046,,0.133,0.006,0.9988,1.0,16.894736842105264,16.894736842105264,963,1.6458982346832813,1,5.317757009345795
45,blackassign0047,,0.093,0.016,0.994,1.001,17.658536585365855,17.658536585365855,724,1.7803867403314917,1,5.653314917127072
